latency,avg_memory,max_memory,macs,<class 'torch.nn.modules.conv.Conv2d'>_macs,total_params,trainable_params,input_size,in_channel,out_channel,kernel_size,stride,img_size
7.002651691436767e-05,1295777792.0,1295777792.0,908402688.0,908402688.0,73984.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,3.0,2.0,224.0
4.722438752651215e-05,1274806272.0,1274806272.0,73728.0,73728.0,73984.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,256.0,3.0,5.0,7.0
5.239211022853851e-05,1276903424.0,1276903424.0,663552.0,663552.0,73984.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,256.0,3.0,5.0,14.0
0.00026221126317977906,1276903424.0,1276903424.0,2654208.0,2654208.0,73984.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,256.0,3.0,5.0,28.0
5.929209291934967e-05,1276903424.0,1276903424.0,8921088.0,8921088.0,73984.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,256.0,3.0,5.0,56.0
4.125721752643585e-05,1297874944.0,1297874944.0,35684352.0,35684352.0,73984.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,256.0,3.0,5.0,112.0
5.97294420003891e-05,1297874944.0,1297874944.0,149299200.0,149299200.0,73984.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,256.0,3.0,5.0,224.0
4.8665329813957214e-05,1276903424.0,1276903424.0,802816.0,802816.0,16896.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,512.0,1.0,1.0,7.0
5.361437797546387e-05,1276903424.0,1276903424.0,3211264.0,3211264.0,16896.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,512.0,1.0,1.0,14.0
7.405467331409455e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,16896.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,512.0,1.0,1.0,28.0
8.522085845470428e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,16896.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,512.0,1.0,1.0,56.0
7.329583168029785e-05,1323040768.0,1323040768.0,205520896.0,205520896.0,16896.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,512.0,1.0,1.0,112.0
7.099807262420655e-05,1398538240.0,1398538240.0,822083584.0,822083584.0,16896.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,512.0,1.0,1.0,224.0
4.906617105007172e-05,1274806272.0,1274806272.0,262144.0,262144.0,16896.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,512.0,1.0,2.0,7.0
5.384646356105804e-05,1274806272.0,1274806272.0,802816.0,802816.0,16896.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,512.0,1.0,2.0,14.0
7.255412638187408e-05,1274806272.0,1274806272.0,3211264.0,3211264.0,16896.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,512.0,1.0,2.0,28.0
6.166882812976837e-05,1295777792.0,1295777792.0,12845056.0,12845056.0,16896.0,0.0,"torch.Size([1, 32, 56, 56])",32.0,512.0,1.0,2.0,56.0
6.143823266029358e-05,1295777792.0,1295777792.0,51380224.0,51380224.0,16896.0,0.0,"torch.Size([1, 32, 112, 112])",32.0,512.0,1.0,2.0,112.0
7.181018590927125e-05,1323040768.0,1323040768.0,205520896.0,205520896.0,16896.0,0.0,"torch.Size([1, 32, 224, 224])",32.0,512.0,1.0,2.0,224.0
4.913769662380218e-05,1274806272.0,1274806272.0,65536.0,65536.0,16896.0,0.0,"torch.Size([1, 32, 7, 7])",32.0,512.0,1.0,5.0,7.0
5.302540957927704e-05,1274806272.0,1274806272.0,147456.0,147456.0,16896.0,0.0,"torch.Size([1, 32, 14, 14])",32.0,512.0,1.0,5.0,14.0
7.141418755054473e-05,1274806272.0,1274806272.0,589824.0,589824.0,16896.0,0.0,"torch.Size([1, 32, 28, 28])",32.0,512.0,1.0,5.0,28.0
